order_id,product_id,product_name,vendor_id,vendor_name,quantity,unit_price,total_cost,order_date,current_stock,reorder_level
O0001,P001,Cement Bags,V002,Shree Steel Traders,90,2206,198540,13/03/25,33,50
O0002,P002,TMT Steel Bars,V002,Shree Steel Traders,171,3656,625176,16/01/25,9,40
O0003,P004,PVC Drain Pipes,V002,Shree Steel Traders,79,4339,342781,14/01/25,82,35
O0004,P004,PVC Drain Pipes,V009,AquaFlow Solutions,159,3636,578124,18/08/25,33,35
O0005,P005,Coarse Aggregates,V010,Metro Hardware Hub,21,1507,31647,05/08/25,94,60
O0006,P005,Coarse Aggregates,V006,Precision Electricals,59,1963,115817,22/06/25,102,60
O0007,P002,TMT Steel Bars,V002,Shree Steel Traders,117,992,116064,26/06/25,50,40
O0008,P005,Coarse Aggregates,V010,Metro Hardware Hub,31,3963,122853,05/03/25,73,60
O0009,P002,TMT Steel Bars,V007,Prime Machinery Vendors,161,2601,418761,18/11/25,111,40
O0010,P006,Electrical Cables,V010,Metro Hardware Hub,167,1775,296425,05/02/25,95,25
O0011,P004,PVC Drain Pipes,V001,UltraBuild Suppliers,94,853,80182,30/04/25,114,35
O0012,P007,Paver Blocks,V002,Shree Steel Traders,91,3914,356174,06/07/25,86,45
O0013,P006,Electrical Cables,V003,Bharat Infra Supply Co.,110,1916,210760,17/05/25,90,25
O0014,P003,Bitumen Drums,V002,Shree Steel Traders,156,2205,343980,25/08/25,25,30
O0015,P005,Coarse Aggregates,V007,Prime Machinery Vendors,162,1999,323838,16/06/25,92,60
O0016,P004,PVC Drain Pipes,V001,UltraBuild Suppliers,28,2784,77952,18/05/25,56,35
O0017,P004,PVC Drain Pipes,V002,Shree Steel Traders,165,2777,458205,02/12/25,32,35
O0018,P007,Paver Blocks,V008,Reliable Bitumen Works,137,1370,187690,13/03/25,38,45
O0019,P005,Coarse Aggregates,V004,Sai Pipes & Fittings,169,3709,626821,26/10/25,119,60
O0020,P006,Electrical Cables,V007,Prime Machinery Vendors,76,1333,101308,10/09/25,70,25
O0021,P001,Cement Bags,V002,Shree Steel Traders,48,1452,69696,23/03/25,85,50
O0022,P002,TMT Steel Bars,V007,Prime Machinery Vendors,118,3326,392468,28/08/25,81,40
O0023,P005,Coarse Aggregates,V009,AquaFlow Solutions,161,294,47334,28/02/25,92,60
O0024,P005,Coarse Aggregates,V009,AquaFlow Solutions,107,1113,119091,11/08/25,42,60
O0025,P008,Stormwater Grates,V003,Bharat Infra Supply Co.,20,2357,47140,02/04/25,69,20
O0026,P002,TMT Steel Bars,V009,AquaFlow Solutions,180,2644,475920,24/11/25,112,40
O0027,P004,PVC Drain Pipes,V009,AquaFlow Solutions,59,3263,192517,24/03/25,102,35
O0028,P001,Cement Bags,V009,AquaFlow Solutions,173,2855,493915,10/01/25,67,50
O0029,P006,Electrical Cables,V002,Shree Steel Traders,98,2161,211778,04/05/25,12,25
O0030,P002,TMT Steel Bars,V010,Metro Hardware Hub,41,4181,171421,05/02/25,109,40
O0031,P003,Bitumen Drums,V009,AquaFlow Solutions,52,4093,212836,26/03/25,75,30
O0032,P007,Paver Blocks,V005,Green Earth Aggregates,74,1847,136678,09/06/25,96,45
O0033,P006,Electrical Cables,V007,Prime Machinery Vendors,132,4439,585948,03/03/25,62,25
O0034,P004,PVC Drain Pipes,V004,Sai Pipes & Fittings,36,2969,106884,29/10/25,7,35
O0035,P004,PVC Drain Pipes,V009,AquaFlow Solutions,170,2004,340680,06/02/25,5,35
O0036,P004,PVC Drain Pipes,V001,UltraBuild Suppliers,37,457,16909,19/06/25,115,35
O0037,P004,PVC Drain Pipes,V002,Shree Steel Traders,91,4176,380016,04/10/25,32,35
O0038,P008,Stormwater Grates,V003,Bharat Infra Supply Co.,82,4074,334068,28/07/25,108,20
O0039,P002,TMT Steel Bars,V004,Sai Pipes & Fittings,44,3731,164164,05/08/25,50,40
O0040,P008,Stormwater Grates,V007,Prime Machinery Vendors,33,1006,33198,26/07/25,12,20
O0041,P002,TMT Steel Bars,V006,Precision Electricals,83,1769,146827,02/10/25,29,40
O0042,P003,Bitumen Drums,V008,Reliable Bitumen Works,128,1703,217984,25/08/25,40,30
O0043,P002,TMT Steel Bars,V004,Sai Pipes & Fittings,133,1002,133266,30/11/25,11,40
O0044,P001,Cement Bags,V009,AquaFlow Solutions,43,2136,91848,28/07/25,26,50
O0045,P008,Stormwater Grates,V008,Reliable Bitumen Works,74,3485,257890,31/01/25,120,20
O0046,P007,Paver Blocks,V003,Bharat Infra Supply Co.,20,3398,67960,21/08/25,38,45
O0047,P007,Paver Blocks,V005,Green Earth Aggregates,162,4186,678132,08/04/25,24,45
O0048,P004,PVC Drain Pipes,V005,Green Earth Aggregates,34,699,23766,10/06/25,100,35
O0049,P001,Cement Bags,V001,UltraBuild Suppliers,169,4105,693745,29/09/25,69,50
O0050,P001,Cement Bags,V003,Bharat Infra Supply Co.,150,856,128400,06/04/25,113,50
O0051,P002,TMT Steel Bars,V002,Shree Steel Traders,80,3507,280560,19/10/25,20,40
O0052,P001,Cement Bags,V004,Sai Pipes & Fittings,178,871,155038,03/12/25,58,50
O0053,P006,Electrical Cables,V010,Metro Hardware Hub,86,1873,161078,10/06/25,90,25
O0054,P005,Coarse Aggregates,V004,Sai Pipes & Fittings,121,1272,153912,27/11/25,90,60
O0055,P008,Stormwater Grates,V005,Green Earth Aggregates,100,794,79400,23/08/25,6,20
O0056,P002,TMT Steel Bars,V010,Metro Hardware Hub,38,1946,73948,16/05/25,69,40
O0057,P006,Electrical Cables,V003,Bharat Infra Supply Co.,37,2201,81437,26/05/25,52,25
O0058,P008,Stormwater Grates,V003,Bharat Infra Supply Co.,159,2678,425802,01/12/25,83,20
O0059,P001,Cement Bags,V009,AquaFlow Solutions,161,2652,426972,23/02/25,89,50
O0060,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,49,1076,52724,11/10/25,100,60
O0061,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,92,1925,177100,25/06/25,96,60
O0062,P005,Coarse Aggregates,V004,Sai Pipes & Fittings,149,4202,626098,27/01/25,37,60
O0063,P007,Paver Blocks,V002,Shree Steel Traders,90,561,50490,20/06/25,5,45
O0064,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,61,3819,232959,28/12/25,75,60
O0065,P001,Cement Bags,V007,Prime Machinery Vendors,48,816,39168,20/12/25,118,50
O0066,P001,Cement Bags,V003,Bharat Infra Supply Co.,114,1413,161082,07/03/25,60,50
O0067,P005,Coarse Aggregates,V001,UltraBuild Suppliers,113,526,59438,03/07/25,120,60
O0068,P004,PVC Drain Pipes,V004,Sai Pipes & Fittings,46,3097,142462,14/10/25,104,35
O0069,P003,Bitumen Drums,V007,Prime Machinery Vendors,80,1531,122480,01/04/25,107,30
O0070,P001,Cement Bags,V007,Prime Machinery Vendors,65,2921,189865,30/07/25,105,50
O0071,P005,Coarse Aggregates,V004,Sai Pipes & Fittings,60,1085,65100,20/01/25,53,60
O0072,P004,PVC Drain Pipes,V008,Reliable Bitumen Works,71,3970,281870,06/06/25,49,35
O0073,P004,PVC Drain Pipes,V004,Sai Pipes & Fittings,26,1782,46332,18/06/25,56,35
O0074,P002,TMT Steel Bars,V005,Green Earth Aggregates,91,3076,279916,18/09/25,87,40
O0075,P006,Electrical Cables,V007,Prime Machinery Vendors,27,1144,30888,14/05/25,117,25
O0076,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,29,1088,31552,11/08/25,81,60
O0077,P006,Electrical Cables,V006,Precision Electricals,131,4389,574959,17/07/25,19,25
O0078,P004,PVC Drain Pipes,V010,Metro Hardware Hub,85,563,47855,12/08/25,95,35
O0079,P004,PVC Drain Pipes,V001,UltraBuild Suppliers,113,3733,421829,07/12/25,13,35
O0080,P006,Electrical Cables,V006,Precision Electricals,51,2660,135660,08/06/25,69,25
O0081,P006,Electrical Cables,V007,Prime Machinery Vendors,123,2622,322506,07/03/25,75,25
O0082,P007,Paver Blocks,V004,Sai Pipes & Fittings,117,1625,190125,19/10/25,83,45
O0083,P007,Paver Blocks,V005,Green Earth Aggregates,160,203,32480,27/05/25,43,45
O0084,P007,Paver Blocks,V004,Sai Pipes & Fittings,168,2839,476952,15/08/25,64,45
O0085,P004,PVC Drain Pipes,V008,Reliable Bitumen Works,150,4076,611400,28/03/25,106,35
O0086,P005,Coarse Aggregates,V002,Shree Steel Traders,151,2945,444695,01/05/25,16,60
O0087,P004,PVC Drain Pipes,V005,Green Earth Aggregates,70,1407,98490,24/01/25,8,35
O0088,P008,Stormwater Grates,V004,Sai Pipes & Fittings,176,796,140096,01/08/25,63,20
O0089,P004,PVC Drain Pipes,V010,Metro Hardware Hub,118,4249,501382,05/05/25,56,35
O0090,P001,Cement Bags,V003,Bharat Infra Supply Co.,47,3682,173054,01/04/25,33,50
O0091,P008,Stormwater Grates,V009,AquaFlow Solutions,32,2241,71712,04/03/25,113,20
O0092,P003,Bitumen Drums,V008,Reliable Bitumen Works,138,2799,386262,15/08/25,101,30
O0093,P007,Paver Blocks,V010,Metro Hardware Hub,160,3852,616320,23/03/25,119,45
O0094,P008,Stormwater Grates,V008,Reliable Bitumen Works,86,2225,191350,23/11/25,112,20
O0095,P008,Stormwater Grates,V005,Green Earth Aggregates,180,2159,388620,14/08/25,40,20
O0096,P005,Coarse Aggregates,V002,Shree Steel Traders,80,2425,194000,13/06/25,47,60
O0097,P002,TMT Steel Bars,V009,AquaFlow Solutions,55,1435,78925,16/07/25,34,40
O0098,P004,PVC Drain Pipes,V003,Bharat Infra Supply Co.,36,3598,129528,19/06/25,57,35
O0099,P008,Stormwater Grates,V009,AquaFlow Solutions,126,710,89460,04/08/25,31,20
O0100,P001,Cement Bags,V007,Prime Machinery Vendors,167,3316,553772,04/01/25,66,50
O0101,P005,Coarse Aggregates,V006,Precision Electricals,119,3632,432208,07/10/25,73,60
O0102,P004,PVC Drain Pipes,V010,Metro Hardware Hub,144,1997,287568,12/08/25,39,35
O0103,P001,Cement Bags,V008,Reliable Bitumen Works,119,2953,351407,14/12/25,90,50
O0104,P003,Bitumen Drums,V007,Prime Machinery Vendors,139,1245,173055,01/10/25,84,30
O0105,P007,Paver Blocks,V001,UltraBuild Suppliers,171,422,72162,26/11/25,15,45
O0106,P003,Bitumen Drums,V007,Prime Machinery Vendors,138,1688,232944,14/05/25,11,30
O0107,P006,Electrical Cables,V007,Prime Machinery Vendors,74,3924,290376,22/06/25,46,25
O0108,P005,Coarse Aggregates,V007,Prime Machinery Vendors,127,2266,287782,11/02/25,111,60
O0109,P001,Cement Bags,V008,Reliable Bitumen Works,158,626,98908,25/04/25,49,50
O0110,P001,Cement Bags,V002,Shree Steel Traders,27,2225,60075,11/01/25,30,50
O0111,P003,Bitumen Drums,V010,Metro Hardware Hub,81,1234,99954,09/12/25,65,30
O0112,P004,PVC Drain Pipes,V002,Shree Steel Traders,139,2299,319561,08/07/25,103,35
O0113,P002,TMT Steel Bars,V003,Bharat Infra Supply Co.,61,2748,167628,24/10/25,18,40
O0114,P005,Coarse Aggregates,V001,UltraBuild Suppliers,167,3274,546758,12/04/25,55,60
O0115,P004,PVC Drain Pipes,V002,Shree Steel Traders,46,2670,122820,17/12/25,113,35
O0116,P002,TMT Steel Bars,V010,Metro Hardware Hub,164,536,87904,30/09/25,49,40
O0117,P006,Electrical Cables,V007,Prime Machinery Vendors,37,4344,160728,24/06/25,87,25
O0118,P007,Paver Blocks,V001,UltraBuild Suppliers,145,1064,154280,05/07/25,60,45
O0119,P003,Bitumen Drums,V008,Reliable Bitumen Works,131,1642,215102,25/09/25,98,30
O0120,P008,Stormwater Grates,V005,Green Earth Aggregates,139,3768,523752,31/10/25,110,20
O0121,P006,Electrical Cables,V005,Green Earth Aggregates,82,909,74538,19/08/25,40,25
O0122,P008,Stormwater Grates,V004,Sai Pipes & Fittings,165,3304,545160,15/01/25,48,20
O0123,P006,Electrical Cables,V008,Reliable Bitumen Works,66,4194,276804,01/07/25,32,25
O0124,P006,Electrical Cables,V005,Green Earth Aggregates,91,2463,224133,06/01/25,76,25
O0125,P004,PVC Drain Pipes,V009,AquaFlow Solutions,41,2177,89257,28/07/25,97,35
O0126,P004,PVC Drain Pipes,V008,Reliable Bitumen Works,141,4220,595020,09/01/25,62,35
O0127,P005,Coarse Aggregates,V002,Shree Steel Traders,76,3512,266912,05/05/25,93,60
O0128,P006,Electrical Cables,V005,Green Earth Aggregates,141,3016,425256,09/10/25,59,25
O0129,P006,Electrical Cables,V006,Precision Electricals,136,2419,328984,09/05/25,44,25
O0130,P002,TMT Steel Bars,V004,Sai Pipes & Fittings,69,2784,192096,02/10/25,20,40
